2026-09-02 05:24:50.817 | INFO     | et_miner.gpu.mining:_apriori_from_bitvecs:770 -   Mining complete: K=14 reached max_length=1002. Total: 168,674 itemsets in 2.0s
2026-09-02 05:24:51.885 | INFO     | __main__:main:133 -   168,674 itemsets in 3.5s
2026-09-02 05:24:51.885 | INFO     | __main__:main:136 - Mining row-split (n_gpus=2) — via _apriori_row_split_multi_gpu...
2026-09-02 05:24:51.886 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:501 - Direct CSR path: 1,000,000 transactions, min_count=50
2026-09-02 05:24:51.902 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:524 - Direct CSR path: 1002 frequent items
2026-09-02 05:24:51.948 | INFO     | et_miner.core.matrix:_build_csr_from_transactions:548 - Direct CSR path: 4,116,263 non-zeros
2026-09-02 05:24:52.085 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:127 -   Row-split multi-GPU: 2 GPUs, min_count=50 (GPU-resident dense counting)
2026-09-02 05:24:52.092 | DEBUG    | et_miner.gpu.csr_bitvec:_build_shard:508 -   [GPU 0] Building bitvec: 500,000 rows, 2,057,518 nnz, ~0.1 GB (rows-balanced)
2026-09-02 05:24:52.093 | DEBUG    | et_miner.gpu.csr_bitvec:_build_shard:508 -   [GPU 1] Building bitvec: 500,000 rows, 2,058,745 nnz, ~0.1 GB (rows-balanced)
2026-09-02 05:24:52.121 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:137 -   Bitvec build: 0.0s across 2 GPUs
2026-09-02 05:24:52.500 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:170 -   NCCL: 2 communicators (ring all-reduce)
2026-09-02 05:24:52.509 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:318 -   K=1: 1,002 frequent items in 0.0s
2026-09-02 05:24:52.522 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:453 -   K=2: 501,501 total pairs, 1 chunk(s), dense output 0.00 GB/GPU per chunk
2026-09-02 05:24:52.615 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=2 chunk 1/1 filtering: 501,501 candidates → 12,255 frequent (2.4% pass rate, min_count=50)
2026-09-02 05:24:52.615 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:599 -   K=2: 12,255 frequent in 0.1s
