timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/02 20:11:52.728, 0, 0 %, 21653 MiB
2026/09/02 20:11:52.728, 1, 0 %, 0 MiB
2026/09/02 20:11:57.729, 0, 0 %, 21653 MiB
2026/09/02 20:11:57.729, 1, 0 %, 0 MiB
2026/09/02 20:12:02.729, 0, 0 %, 21653 MiB
2026/09/02 20:12:02.730, 1, 0 %, 0 MiB
2026/09/02 20:12:07.730, 0, 0 %, 21653 MiB
2026/09/02 20:12:07.730, 1, 0 %, 0 MiB
2026/09/02 20:12:12.731, 0, 0 %, 21653 MiB
2026/09/02 20:12:12.731, 1, 0 %, 0 MiB
2026/09/02 20:12:17.732, 0, 0 %, 21653 MiB
2026/09/02 20:12:17.732, 1, 0 %, 0 MiB
2026/09/02 20:12:22.732, 0, 0 %, 21653 MiB
2026/09/02 20:12:22.732, 1, 0 %, 0 MiB
2026/09/02 20:12:27.733, 0, 48 %, 21657 MiB
2026/09/02 20:12:27.733, 1, 0 %, 0 MiB
2026/09/02 20:12:32.733, 0, 48 %, 21657 MiB
2026/09/02 20:12:32.734, 1, 0 %, 0 MiB
2026/09/02 20:12:37.734, 0, 48 %, 21657 MiB
2026/09/02 20:12:37.734, 1, 0 %, 0 MiB
2026/09/02 20:12:42.735, 0, 48 %, 21657 MiB
2026/09/02 20:12:42.735, 1, 0 %, 0 MiB
2026/09/02 20:12:47.736, 0, 49 %, 21657 MiB
2026/09/02 20:12:47.736, 1, 0 %, 0 MiB
2026/09/02 20:12:52.736, 0, 49 %, 21657 MiB
2026/09/02 20:12:52.736, 1, 0 %, 0 MiB
2026/09/02 20:12:57.737, 0, 48 %, 21657 MiB
2026/09/02 20:12:57.737, 1, 0 %, 0 MiB
2026/09/02 20:13:02.737, 0, 46 %, 21657 MiB
2026/09/02 20:13:02.738, 1, 0 %, 0 MiB
2026/09/02 20:13:07.738, 0, 48 %, 21657 MiB
2026/09/02 20:13:07.738, 1, 0 %, 0 MiB
2026/09/02 20:13:12.739, 0, 48 %, 21657 MiB
2026/09/02 20:13:12.739, 1, 0 %, 0 MiB
2026/09/02 20:13:17.739, 0, 49 %, 21657 MiB
2026/09/02 20:13:17.740, 1, 0 %, 0 MiB
2026/09/02 20:13:22.740, 0, 0 %, 21657 MiB
2026/09/02 20:13:22.740, 1, 0 %, 0 MiB
2026/09/02 20:13:27.741, 0, 0 %, 21657 MiB
2026/09/02 20:13:27.741, 1, 0 %, 0 MiB
2026/09/02 20:13:32.741, 0, 0 %, 21657 MiB
