timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/02 18:46:34.816, 1, 0 %, 0 MiB
2026/09/02 18:46:39.817, 0, 100 %, 18747 MiB
2026/09/02 18:46:39.817, 1, 0 %, 0 MiB
2026/09/02 18:46:44.817, 0, 100 %, 18747 MiB
2026/09/02 18:46:44.818, 1, 0 %, 0 MiB
2026/09/02 18:46:49.818, 0, 0 %, 18747 MiB
2026/09/02 18:46:49.818, 1, 0 %, 0 MiB
2026/09/02 18:46:54.819, 0, 100 %, 18747 MiB
2026/09/02 18:46:54.819, 1, 0 %, 0 MiB
2026/09/02 18:46:59.819, 0, 100 %, 18747 MiB
2026/09/02 18:46:59.819, 1, 0 %, 0 MiB
2026/09/02 18:47:04.820, 0, 100 %, 18747 MiB
2026/09/02 18:47:04.820, 1, 0 %, 0 MiB
2026/09/02 18:47:09.820, 0, 100 %, 18747 MiB
2026/09/02 18:47:09.821, 1, 0 %, 0 MiB
2026/09/02 18:47:14.821, 0, 100 %, 18747 MiB
2026/09/02 18:47:14.821, 1, 0 %, 0 MiB
2026/09/02 18:47:19.822, 0, 100 %, 18747 MiB
2026/09/02 18:47:19.822, 1, 0 %, 0 MiB
2026/09/02 18:47:24.823, 0, 0 %, 18747 MiB
2026/09/02 18:47:24.823, 1, 0 %, 0 MiB
2026/09/02 18:47:29.824, 0, 100 %, 18747 MiB
2026/09/02 18:47:29.824, 1, 0 %, 0 MiB
2026/09/02 18:47:34.825, 0, 100 %, 18747 MiB
2026/09/02 18:47:34.825, 1, 0 %, 0 MiB
2026/09/02 18:47:39.825, 0, 100 %, 18747 MiB
2026/09/02 18:47:39.825, 1, 0 %, 0 MiB
2026/09/02 18:47:44.826, 0, 100 %, 18747 MiB
2026/09/02 18:47:44.826, 1, 0 %, 0 MiB
2026/09/02 18:47:49.826, 0, 100 %, 18747 MiB
2026/09/02 18:47:49.827, 1, 0 %, 0 MiB
2026/09/02 18:47:54.827, 0, 100 %, 18747 MiB
2026/09/02 18:47:54.827, 1, 0 %, 0 MiB
2026/09/02 18:47:59.828, 0, 100 %, 18747 MiB
2026/09/02 18:47:59.828, 1, 0 %, 0 MiB
2026/09/02 18:48:04.829, 0, 100 %, 18747 MiB
2026/09/02 18:48:04.829, 1, 0 %, 0 MiB
2026/09/02 18:48:09.829, 0, 100 %, 18747 MiB
2026/09/02 18:48:09.829, 1, 0 %, 0 MiB
2026/09/02 18:48:14.830, 0, 100 %, 18747 MiB
2026/09/02 18:48:14.830, 1, 0 %, 0 MiB
2026/09/02 18:48:19.830, 0, 100 %, 18747 MiB
2026/09/02 18:48:19.831, 1, 0 %, 0 MiB
2026/09/02 18:48:24.831, 0, 100 %, 18747 MiB
2026/09/02 18:48:24.831, 1, 0 %, 0 MiB
2026/09/02 18:48:29.832, 0, 100 %, 18747 MiB
2026/09/02 18:48:29.832, 1, 0 %, 0 MiB
2026/09/02 18:48:34.832, 0, 100 %, 18747 MiB
2026/09/02 18:48:34.832, 1, 0 %, 0 MiB
2026/09/02 18:48:39.833, 0, 100 %, 18747 MiB
2026/09/02 18:48:39.833, 1, 0 %, 0 MiB
2026/09/02 18:48:44.834, 0, 100 %, 18747 MiB
2026/09/02 18:48:44.834, 1, 0 %, 0 MiB
2026/09/02 18:48:49.834, 0, 100 %, 18747 MiB
2026/09/02 18:48:49.834, 1, 0 %, 0 MiB
2026/09/02 18:48:54.835, 0, 100 %, 18747 MiB
2026/09/02 18:48:54.835, 1, 0 %, 0 MiB
2026/09/02 18:48:59.836, 0, 100 %, 18747 MiB
2026/09/02 18:48:59.836, 1, 0 %, 0 MiB
2026/09/02 18:49:04.836, 0, 100 %, 18747 MiB
2026/09/02 18:49:04.836, 1, 0 %, 0 MiB
2026/09/02 18:49:09.837, 0, 100 %, 18747 MiB
2026/09/02 18:49:09.837, 1, 0 %, 0 MiB
2026/09/02 18:49:14.837, 0, 100 %, 18747 MiB
2026/09/02 18:49:14.838, 1, 0 %, 0 MiB
2026/09/02 18:49:19.838, 0, 100 %, 18747 MiB
2026/09/02 18:49:19.838, 1, 0 %, 0 MiB
2026/09/02 18:49:24.839, 0, 100 %, 18747 MiB
2026/09/02 18:49:24.839, 1, 0 %, 0 MiB
2026/09/02 18:49:29.839, 0, 100 %, 18747 MiB
2026/09/02 18:49:29.839, 1, 0 %, 0 MiB
2026/09/02 18:49:34.840, 0, 100 %, 18747 MiB
2026/09/02 18:49:34.840, 1, 0 %, 0 MiB
2026/09/02 18:49:39.840, 0, 100 %, 18747 MiB
2026/09/02 18:49:39.841, 1, 0 %, 0 MiB
2026/09/02 18:49:44.841, 0, 100 %, 18747 MiB
2026/09/02 18:49:44.841, 1, 0 %, 0 MiB
2026/09/02 18:49:49.842, 0, 100 %, 18747 MiB
2026/09/02 18:49:49.842, 1, 0 %, 0 MiB
2026/09/02 18:49:54.842, 0, 44 %, 18747 MiB
2026/09/02 18:49:54.842, 1, 0 %, 0 MiB
2026/09/02 18:49:59.843, 0, 100 %, 18747 MiB
2026/09/02 18:49:59.843, 1, 0 %, 0 MiB
2026/09/02 18:50:04.843, 0, 93 %, 18747 MiB
2026/09/02 18:50:04.844, 1, 0 %, 0 MiB
2026/09/02 18:50:09.844, 0, 0 %, 18747 MiB
2026/09/02 18:50:09.844, 1, 0 %, 0 MiB
2026/09/02 18:50:14.845, 0, 0 %, 18747 MiB
2026/09/02 18:50:14.845, 1, 0 %, 0 MiB
2026/09/02 18:50:19.845, 0, 0 %, 18747 MiB
2026/09/02 18:50:19.846, 1, 0 %, 0 MiB
2026/09/02 18:50:24.846, 0, 0 %, 18747 MiB
2026/09/02 18:50:24.846, 1, 0 %, 0 MiB
2026/09/02 18:50:29.847, 0, 0 %, 18747 MiB
2026/09/02 18:50:29.847, 1, 0 %, 0 MiB
2026/09/02 18:50:34.847, 0, 0 %, 18747 MiB
2026/09/02 18:50:34.847, 1, 0 %, 0 MiB
2026/09/02 18:50:39.848, 0, 0 %, 18747 MiB
2026/09/02 18:50:39.848, 1, 0 %, 0 MiB
2026/09/02 18:50:44.848, 0, 0 %, 18747 MiB
2026/09/02 18:50:44.849, 1, 0 %, 0 MiB
2026/09/02 18:50:49.849, 0, 0 %, 18747 MiB
2026/09/02 18:50:49.849, 1, 0 %, 0 MiB
2026/09/02 18:50:54.850, 0, 0 %, 18747 MiB
2026/09/02 18:50:54.850, 1, 0 %, 0 MiB
2026/09/02 18:50:59.850, 0, 0 %, 18747 MiB
2026/09/02 18:50:59.850, 1, 0 %, 0 MiB
2026/09/02 18:51:04.851, 0, 0 %, 18747 MiB
2026/09/02 18:51:04.851, 1, 0 %, 0 MiB
2026/09/02 18:51:09.851, 0, 0 %, 18747 MiB
2026/09/02 18:51:09.851, 1, 0 %, 0 MiB
2026/09/02 18:51:14.852, 0, 0 %, 18747 MiB
2026/09/02 18:51:14.852, 1, 0 %, 0 MiB
2026/09/02 18:51:19.852, 0, 0 %, 18747 MiB
2026/09/02 18:51:19.853, 1, 0 %, 0 MiB
2026/09/02 18:51:24.853, 0, 0 %, 18747 MiB
2026/09/02 18:51:24.853, 1, 0 %, 0 MiB
2026/09/02 18:51:29.854, 0, 0 %, 18747 MiB
2026/09/02 18:51:29.854, 1, 0 %, 0 MiB
2026/09/02 18:51:34.855, 0, 0 %, 18747 MiB
2026/09/02 18:51:34.855, 1, 0 %, 0 MiB
2026/09/02 18:51:39.856, 0, 0 %, 18747 MiB
2026/09/02 18:51:39.856, 1, 0 %, 0 MiB
2026/09/02 18:51:44.856, 0, 0 %, 18747 MiB
2026/09/02 18:51:44.856, 1, 0 %, 0 MiB
2026/09/02 18:51:49.857, 0, 0 %, 18747 MiB
2026/09/02 18:51:49.857, 1, 0 %, 0 MiB
2026/09/02 18:51:54.857, 0, 0 %, 18747 MiB
2026/09/02 18:51:54.857, 1, 0 %, 0 MiB
2026/09/02 18:51:59.858, 0, 0 %, 18747 MiB
2026/09/02 18:51:59.858, 1, 0 %, 0 MiB
2026/09/02 18:52:04.859, 0, 0 %, 18747 MiB
2026/09/02 18:52:04.859, 1, 0 %, 0 MiB
2026/09/02 18:52:09.859, 0, 0 %, 18747 MiB
2026/09/02 18:52:09.859, 1, 0 %, 0 MiB
2026/09/02 18:52:14.860, 0, 0 %, 18747 MiB
2026/09/02 18:52:14.860, 1, 0 %, 0 MiB
2026/09/02 18:52:19.860, 0, 0 %, 18747 MiB
2026/09/02 18:52:19.861, 1, 0 %, 0 MiB
2026/09/02 18:52:24.861, 0, 0 %, 18747 MiB
2026/09/02 18:52:24.861, 1, 0 %, 0 MiB
2026/09/02 18:52:29.862, 0, 0 %, 18747 MiB
2026/09/02 18:52:29.862, 1, 0 %, 0 MiB
2026/09/02 18:52:34.863, 0, 0 %, 18747 MiB
2026/09/02 18:52:34.863, 1, 0 %, 0 MiB
2026/09/02 18:52:39.863, 0, 0 %, 18747 MiB
2026/09/02 18:52:39.864, 1, 0 %, 0 MiB
2026/09/02 18:52:44.864, 0, 0 %, 18747 MiB
2026/09/02 18:52:44.864, 1, 0 %, 0 MiB
2026/09/02 18:52:49.865, 0, 0 %, 18747 MiB
2026/09/02 18:52:49.865, 1, 0 %, 0 MiB
2026/09/02 18:52:54.865, 0, 0 %, 18747 MiB
2026/09/02 18:52:54.865, 1, 0 %, 0 MiB
2026/09/02 18:52:59.866, 0, 0 %, 18747 MiB
2026/09/02 18:52:59.866, 1, 0 %, 0 MiB
2026/09/02 18:53:04.867, 0, 0 %, 18747 MiB
2026/09/02 18:53:04.867, 1, 0 %, 0 MiB
2026/09/02 18:53:09.867, 0, 0 %, 18747 MiB
2026/09/02 18:53:09.867, 1, 0 %, 0 MiB
2026/09/02 18:53:14.868, 0, 0 %, 18747 MiB
2026/09/02 18:53:14.868, 1, 0 %, 0 MiB
2026/09/02 18:53:19.869, 0, 0 %, 18747 MiB
2026/09/02 18:53:19.869, 1, 0 %, 0 MiB
2026/09/02 18:53:24.869, 0, 0 %, 18747 MiB
2026/09/02 18:53:24.870, 1, 0 %, 0 MiB
2026/09/02 18:53:29.870, 0, 0 %, 18747 MiB
