2026-08-31 20:44:09.089 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=4 chunk 1/4: candidates [0, 1,000)
2026-08-31 20:44:09.090 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=4 chunk 1/4 filtering: 1,000 candidates → 18 frequent (1.8% pass rate, min_count=600)
2026-08-31 20:44:09.091 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=4 chunk 2/4: candidates [1,000, 1,071) (legacy sub-chunk)
2026-08-31 20:44:09.091 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=4 chunk 2/4 filtering: 71 candidates → 30 frequent (42.3% pass rate, min_count=600)
2026-08-31 20:44:09.091 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=4 chunk 3/4: candidates [1,071, 1,162)
2026-08-31 20:44:09.092 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=4 chunk 3/4 filtering: 91 candidates → 0 frequent (0.0% pass rate, min_count=600)
2026-08-31 20:44:09.092 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=4 chunk 4/4: candidates [1,162, 1,240) (legacy sub-chunk)
2026-08-31 20:44:09.093 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=4 chunk 4/4 filtering: 78 candidates → 15 frequent (19.2% pass rate, min_count=600)
2026-08-31 20:44:09.093 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:719 -   K=4: 63 frequent in 0.0s
2026-08-31 20:44:09.094 | DEBUG    | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:751 -     Pruning: zeroed 24 dead bitvecs at K=4 (0 MB logical × 2 GPUs)
2026-08-31 20:44:09.094 | DEBUG    | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:655 -   K=5: 66 candidates, 1 chunk(s), group data 0.0 GB, budget 3,965,899,987 cands/chunk
2026-08-31 20:44:09.096 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=5 chunk 1/1 filtering: 66 candidates → 18 frequent (27.3% pass rate, min_count=600)
2026-08-31 20:44:09.096 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:719 -   K=5: 18 frequent in 0.0s
2026-08-31 20:44:09.097 | DEBUG    | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:751 -     Pruning: zeroed 11 dead bitvecs at K=5 (0 MB logical × 2 GPUs)
2026-08-31 20:44:09.097 | DEBUG    | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:655 -   K=6: 3 candidates, 1 chunk(s), group data 0.0 GB, budget 3,965,900,089 cands/chunk
2026-08-31 20:44:09.098 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=6 chunk 1/1 filtering: 3 candidates → 3 frequent (100.0% pass rate, min_count=600)
2026-08-31 20:44:09.098 | INFO     | et_miner.gpu.row_split:_apriori_row_split_multi_gpu:719 -   K=6: 3 frequent in 0.0s
